기온(1차),노면온도(1차),기온(2차),노면온도(2차)
2.3,-2.2,4.5,0.5
2.3,-2.2,4.5,0.4
2.3,-2.4,4.5,0.3
2.2,-2.1,4.6,0.3
2.2,-2.3,4.5,0.2
2.2,-2.4,4.5,0.3
2.3,-2.5,4.5,0.1
2.2,-2.6,4.5,0.4
2.2,-2.5,4.5,0.4
2.2,-2.5,4.5,0.2
2.2,-2.6,4.5,0.2
2.2,-2.7,4.5,0.1
2.2,-2.7,4.5,0.1
2.2,-2.6,4.5,0.1
2.2,-2.6,4.5,0
2.2,-2.7,4.5,0
2.2,-2.7,4.5,0.1
2.2,-2.6,4.5,0.1
2.2,-2.6,4.5,0.1
2.2,-2.7,4.5,0.1
2.2,-2.7,4.5,0.2
2.1,-2.6,4.5,0.1
2.2,-2.6,4.5,0.2
2.1,-2.6,4.5,0.1
2.1,-2.6,4.5,0.1
2.1,-2.5,4.5,0.2
2.1,-2.6,4.5,0.2
2.1,-2.6,4.5,0.3
2.1,-2.7,4.5,0.2
2,-2.7,4.5,0
2,-2.7,4.4,0.4
2.1,-2.7,4.5,0
2,-2.6,4.5,-0.1
2,-2.6,4.5,-0.5
2,-2.6,4.4,-0.2
2,-2.7,4.5,-0.2
2,-2.6,4.4,-0.3
2,-2.6,4.4,-0.2
2,-2.5,4.4,-0.2
2,-2.4,4.4,-0.3
2,-2.3,4.4,-0.4
2,-2.3,4.4,-0.4
2,-2.3,4.4,-0.3
2,-2.4,4.4,-0.3
2,-2.4,4.4,-0.2
2,-2.6,4.4,-0.3
2,-2.6,4.4,-0.3
2,-2.5,4.4,-0.4
2,-2.4,4.4,-0.1
2,-2.4,4.4,-0.2
2.1,-2.6,4.4,-0.2
2.1,-2.6,4.4,-0.1
2.1,-2.6,4.4,-0.1
2,-2.5,4.4,-0.1
2.1,-2.6,4.4,-0.1
2.1,-2.6,4.4,0
2.1,-2.5,4.4,0.1
2,-2.6,4.4,0.1
2,-2.6,4.4,0
2,-2.5,4.4,0
2,-2.6,4.4,0.1
2,-2.6,4.4,0.1
2,-2.4,4.3,0
2,-2.5,4.3,0
2.1,-2.7,4.4,0.2
2,-2.5,4.3,0.3
2,-2.6,4.3,0.3
2,-2.6,4.3,0.3
2,-2.5,4.3,0.1
2,-2.5,4.3,0.1
2,-2.5,4.3,-0.1
2,-2.6,4.3,-0.2
2,-2.7,4.3,-0.2
2,-2.8,4.3,-0.3
2,-2.7,4.3,-0.1
2,-2.6,4.2,0.1
2,-2.7,4.2,0.1
1.9,-2.7,4.2,0.1
2,-2.4,4.2,-0.1
2,-2.4,4.2,0.4
2,-2.5,4.2,0.5
1.9,-2.5,4.2,0.3
1.9,-2.6,4.2,0.2
2,-2.8,4.2,0.3
1.9,-2.6,4.2,0.4
1.9,-2.4,4.2,0.4
1.9,-2.3,4.2,0.3
1.9,-2.7,4.2,0.1
1.9,-2.7,4.2,0.2
1.9,-2.7,4.2,0.2
1.9,-2.7,4.2,0.3
1.9,-2.5,4.2,0.2
1.9,-2.4,4.1,0.1
1.9,-2.3,4.2,0.2
1.9,-2.4,4.2,0.6
2,-2.6,4.2,0.1
1.9,-2.6,4.2,0.5
1.9,-2.5,4.1,0.4
1.9,-2.5,4.2,0.2
2,-2.3,4.2,0.2
2,-2.6,4.2,0.2
2,-2.5,4.2,0.2
2,-2.5,4.2,0.5
2,-2.4,4.2,0.2
2,-2.4,4.2,0.2
2,-2.5,4.2,0.4
2,-2.5,4.2,0.7
2,-2.5,4.2,0.6
2,-2.5,4.2,0.6
2,-2.4,4.3,0.6
2,-2.4,4.3,0.7
2,-2.4,4.2,0.7
2,-2.5,4.3,0.8
2,-2.5,4.3,0.7
2,-2.3,4.3,0.6
2,-2.4,4.3,0.6
2,-2.3,4.3,0.6
2,-2.2,4.3,0.6
2,-2.3,4.3,0.7
2,-2.4,4.3,0.7
2,-2.2,4.3,0.6
2,-2,4.3,0.7
2,-2.1,4.3,0.7
2,-2.1,4.3,0.7
2.1,-2.1,4.3,0.7
2,-1.9,4.3,0.8
2.1,-2,4.3,0.7
2.1,-2,4.3,0.6
2.1,-2,4.3,0.7
2.1,-2.1,4.3,0.6
2.1,-2,4.3,0.7
2.1,-2,4.3,0.6
2.2,-2.1,4.3,0.8
2.2,-2,4.3,0.8
2.2,-2.1,4.3,0.8
2.2,-2.1,4.3,0.7
2.2,-2.1,4.3,0.8
2.2,-2,4.4,0.8
2.3,-2.1,4.3,0.7
2.3,-1.9,4.3,0.8
2.3,-1.9,4.3,0.8
2.3,-1.8,4.3,0.8
2.3,-1.9,4.3,0.9
2.3,-1.9,4.3,0.8
2.3,-1.9,4.3,0.7
2.3,-1.9,4.4,0.7
2.3,-1.8,4.4,0.6
2.3,-2,4.4,0.7
2.3,-1.9,4.4,0.7
2.3,-2,4.3,0.6
2.4,-1.9,4.4,0.6
2.3,-2,4.4,0.6
2.3,-1.9,4.4,0.7
2.4,-1.9,4.3,0.6
2.3,-1.9,4.4,0.6
2.3,-1.9,4.3,0.6
2.3,-1.9,4.3,0.6
2.3,-1.9,4.3,0.5
2.3,-1.8,4.3,0.6
2.3,-1.8,4.3,0.5
2.4,-1.9,4.3,0.5
2.4,-1.9,4.3,0.6
2.4,-1.9,4.3,0.5
2.3,-1.9,4.3,0.6
2.3,-1.9,4.3,0.6
2.4,-1.9,4.3,0.6
2.4,-1.9,4.3,0.6
2.3,-2,4.3,0.6
2.3,-1.9,4.3,0.7
2.4,-2,4.3,0.7
2.4,-1.9,4.3,0.7
2.4,-2,4.3,0.7
2.4,-1.8,4.3,0.6
2.4,-2,4.2,0.7
2.4,-1.8,4.3,0.7
2.4,-1.8,4.3,0.7
2.4,-1.8,4.3,0.7
2.4,-1.9,4.3,0.6
2.4,-1.8,4.3,0.6
2.4,-1.7,4.3,0.7
2.4,-1.8,4.3,0.7
2.5,-2,4.3,0.6
2.5,-2,4.2,0.5
2.5,-1.9,4.2,0.6
2.5,-1.8,4.3,0.7
2.5,-1.9,4.3,0.6
2.6,-2,4.2,0.7
2.6,-2,4.2,0.7
2.6,-2.1,4.2,0.7
2.6,-2,4.2,0.6
2.6,-2,4.2,0.7
2.6,-2,4.2,0.7
2.6,-1.9,4.2,0.7
2.6,-1.9,4.2,0.6
2.5,-1.8,4.2,0.6
2.6,-1.8,4.2,0.6
2.6,-1.8,4.2,0.6
2.5,-1.8,4.2,0.6
2.6,-1.8,4.2,0.7
2.6,-1.9,4.2,0.7
2.5,-1.9,4.2,0.7
2.6,-1.8,4.2,0.7
2.6,-1.9,4.2,0.6
2.5,-1.9,4.2,0.7
2.5,-1.8,4.2,0.6
2.6,-1.8,4.1,0.7
2.5,-1.8,4.1,0.7
2.6,-1.9,4.1,0.7
2.5,-1.8,4.1,0.7
2.6,-1.7,4.1,0.7
2.5,-1.7,4.1,0.7
2.6,-1.8,4.1,0.6
2.5,-1.9,4.1,0.7
2.6,-2,4.1,0.7
2.6,-1.9,4.1,0.6
2.5,-2,4.1,0.7
2.5,-1.9,4.1,0.6
2.5,-1.9,4.1,0.6
2.5,-1.9,4.1,0.7
2.6,-1.9,4.1,0.7
2.6,-2,4.1,0.7
2.6,-2,4.1,0.7
2.6,-2.3,4.1,0.7
2.6,-2.1,4.1,0.6
2.6,-2.1,4.1,0.7
,,4.1,0.6
,,4.1,0.7
,,4.1,0.7
,,4.1,0.7
,,4.1,0.6
,,4.1,0.6
,,4.1,0.6
,,4.1,0.6
,,4.1,0.7
,,4.1,0.7
,,4.1,0.7
,,4.1,0.6
,,4.1,0.7
,,4.1,0.7
,,4.1,0.7
,,4.1,0.6
,,4.1,0.6
,,4.1,0.6
,,4.1,0.6
,,4.1,0.4
,,4.1,0.5
,,4.1,0.2
,,4.1,0.3
,,4.1,0.8
,,4.1,0.7
,,4.1,0.8
